id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation,predicted_sql,context_used
39817,civil engineering,"Infrastructure development data, engineering design standards, public works project information, and resilience metrics.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average length of a tunnel in the 'tunnels' table?,"CREATE TABLE tunnels (tunnel_id INT, tunnel_name VARCHAR(50), location VARCHAR(50), length DECIMAL(10,2));",SELECT AVG(length) FROM tunnels;,This query calculates the average length of a tunnel in the 'tunnels' table. It does this by using the AVG() function to find the mean value in the 'length' column.,"```sql
select avg(length) from tunnels;
```","Example 1:
Question: What is the average length of a tunnel in the 'tunnels' table?
SQL: SELECT AVG(length) FROM tunnels;
Example 2:
Question: What is the average length of each route segment in the 'transit_routes' table?
SQL: SELECT segment_name, AVG(length) as avg_length FROM transit_routes GROUP BY segment_name;
Example 3:
Question: What is the maximum length of a railway in the 'railways' table?
SQL: SELECT MAX(length) FROM railways;
Example 4:
Question: What is the average elevation of all airports in the state of Texas that have a runway length greater than 2000 meters?
SQL: SELECT AVG(elevation) FROM airport WHERE state = 'Texas' AND runway_length > 2000;
Example 5:
Question: What is the average number of yellow cards given to a team in the 'soccer_fouls' table?
SQL: SELECT AVG(yellow_cards) FROM soccer_fouls;"
59058,justice,"Justice data on restorative justice, access to justice, criminal justice reform, and legal technology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the percentage of restorative justice programs in Texas that were successful?,"CREATE TABLE restorative_justice_outcomes (outcome_id INT, program_id INT, success BOOLEAN); INSERT INTO restorative_justice_outcomes (outcome_id, program_id, success) VALUES (1, 1001, TRUE), (2, 1002, FALSE);",SELECT 100.0 * SUM(success) / COUNT(*) FROM restorative_justice_outcomes WHERE state = 'TX';,This SQL query calculates the percentage of restorative justice programs in Texas that were successful. It does so by using the SUM and COUNT functions to calculate the number of successful programs and total number of programs in Texas. It then divides these numbers and multiplies by 100.0 to get the percentage.,"```sql
select 100.0 * sum(case when outcome = 'successful' then 1 else 0 end) / count(*) 
from restorative_justice_outcomes 
where state = 'tx';
```","Example 1:
Question: What is the percentage of restorative justice programs in Texas that were successful?
SQL: SELECT 100.0 * SUM(success) / COUNT(*) FROM restorative_justice_outcomes WHERE state = 'TX';
Example 2:
Question: What is the percentage of cases that were resolved through mediation in restorative justice programs in India, and how does it differ between states?
SQL: SELECT state, 100.0*SUM(CASE WHEN resolution = 'Mediation' THEN 1 ELSE 0 END)/COUNT(*) AS percentage FROM india_rj_cases GROUP BY state;
Example 3:
Question: What is the percentage of restorative justice programs that were successful?
SQL: SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM restorative_justice_outcomes)) AS percentage FROM restorative_justice_outcomes WHERE outcome = 'successful';
Example 4:
Question: What is the percentage of cases in which plea bargains were offered in restorative justice programs in Australia, and how does it differ between states?
SQL: SELECT state, 100.0*SUM(CASE WHEN plea_bargain = 'Yes' THEN 1 ELSE 0 END)/COUNT(*) AS percentage FROM aus_rj_cases GROUP BY state;
Example 5:
Question: What is the percentage of language preservation programs offered in Oceania in 2020 that were also offered in 2015?
SQL: SELECT (SUM(CASE WHEN year = 2020 THEN num_progs ELSE 0 END) - SUM(CASE WHEN year = 2015 THEN num_progs ELSE 0 END)) * 100.0 / SUM(CASE WHEN year = 2015 THEN num_progs ELSE 0 END) as pct_progs_offered FROM oceania_lang_progs WHERE org_name IN ('Sydney Language Institute', 'Auckland Language School', 'Melbourne Language University', 'Wellington Language Academy', 'Brisbane Language Institute', 'Canberra Language School', 'Adelaide Language Academy', 'Perth Language School') AND year IN (2015, 2020) GROUP BY org_name HAVING COUNT(DISTINCT year) = 2;"
4072,cannabis industry,"Cannabis production data, dispensary sales stats, regulatory compliance metrics, and social equity trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many cultivation licenses were issued to social equity applicants in Los Angeles county before 2020?,"CREATE TABLE licenses (id INT, type TEXT, applicant TEXT, county TEXT, issue_date DATE); INSERT INTO licenses (id, type, applicant, county, issue_date) VALUES (1, 'cultivation', 'social equity', 'Los Angeles', '2019-01-01'), (2, 'manufacturing', 'general', 'Los Angeles', '2018-01-01');",SELECT COUNT(*) FROM licenses WHERE type = 'cultivation' AND applicant = 'social equity' AND county = 'Los Angeles' AND issue_date < '2020-01-01';,"This query counts the number of cultivation licenses issued to social equity applicants in Los Angeles county before 2020 by filtering the licenses table for cultivation licenses, social equity applicants, Los Angeles county, and issue dates before 2020, and then computing the count of rows.","```sql
select count(*) 
from licenses 
where type = 'cultivation' 
and applicant = 'social equity' 
and county = 'los angeles' 
and issue_date < '2020-01-01';
```","Example 1:
Question: How many cultivation licenses were issued to social equity applicants in Los Angeles county before 2020?
SQL: SELECT COUNT(*) FROM licenses WHERE type = 'cultivation' AND applicant = 'social equity' AND county = 'Los Angeles' AND issue_date < '2020-01-01';
Example 2:
Question: How many cultivation licenses were issued to BIPOC applicants in Detroit county in 2021?
SQL: SELECT COUNT(*) FROM licenses WHERE type = 'cultivation' AND applicant LIKE '%BIPOC%' AND county = 'Detroit' AND issue_date >= '2021-01-01' AND issue_date < '2022-01-01';
Example 3:
Question: How many social equity dispensary licenses were issued in Oakland before 2020?
SQL: SELECT COUNT(*) FROM licenses WHERE type = 'dispensary' AND applicant = 'social equity' AND city = 'Oakland' AND issue_date < '2020-01-01';
Example 4:
Question: How many community policing events were held in the Los Angeles County in the year 2020?
SQL: SELECT COUNT(*) FROM community_policing WHERE county = 'Los Angeles' AND year = 2020;
Example 5:
Question: How many traffic violations were issued in the city of Los Angeles in the year 2020?
SQL: SELECT COUNT(*) FROM traffic_violations WHERE violation_city = 'Los Angeles' AND YEAR(violation_date) = 2020;"
83435,education,"Education data on student mental health, teacher professional development, open pedagogy, and lifelong learning.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average number of students in each 'school_district'?,"CREATE TABLE schools (school_id INT, school_name VARCHAR(25), school_district VARCHAR(25)); INSERT INTO schools (school_id, school_name, school_district) VALUES (1, 'Oak Grove High School', 'Central Riverland'), (2, 'Pine Tree Elementary School', 'Eastern Shorelines'), (3, 'Riverbend Middle School', 'Central Riverland'), (4, 'Willow Creek High School', 'Western Hills');","SELECT school_district, AVG(COUNT(*)) FROM schools GROUP BY school_district;","This SQL query calculates the average number of schools in each school district by first performing a COUNT(*) on the 'schools' table grouped by 'school_district', then finding the average of those counts.","```sql
select school_district, avg(student_count) as average_students 
from schools 
group by school_district;
```","Example 1:
Question: What is the average number of students in each 'school_district'?
SQL: SELECT school_district, AVG(COUNT(*)) FROM schools GROUP BY school_district;
Example 2:
Question: What is the total number of schools in each district, and the average number of students per school?
SQL: SELECT DistrictName, COUNT(*) as TotalSchools, AVG(NumberOfStudents) as AverageStudentsPerSchool FROM Schools JOIN Districts ON Schools.DistrictID = Districts.DistrictID GROUP BY DistrictName;
Example 3:
Question: What is the total number of students enrolled in each district, and what is the average mental health score for students in each district?
SQL: SELECT d.district_name, COUNT(s.student_id) as num_students, AVG(s.mental_health_score) as avg_mental_health_score FROM students s JOIN districts d ON s.district_id = d.district_id GROUP BY s.district_id;
Example 4:
Question: What is the average number of research grants awarded to graduate students in each department, and what is the maximum number of grants awarded to a single student in the past year?
SQL: SELECT g.dept_name, AVG(rg.cnt) as avg_grants, MAX(rg.cnt) as max_grants FROM graduate_students g LEFT JOIN (SELECT student_id, COUNT(*) as cnt FROM research_grants WHERE grant_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR) GROUP BY student_id) rg ON g.student_id = rg.student_id GROUP BY g.dept_name;
Example 5:
Question: What is the average number of research grants awarded to graduate students from underrepresented racial and ethnic backgrounds in each department, and what is the maximum number of grants awarded to a single student from an underrepresented racial or ethnic background in the past year?
SQL: SELECT g.dept_name, AVG(rg.cnt) as avg_grants, MAX(rg.cnt) as max_grants FROM graduate_students g LEFT JOIN (SELECT student_id, COUNT(*) as cnt FROM research_grants WHERE grant_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR) AND student_id IN (SELECT student_id FROM graduate_students WHERE race IN ('African American', 'Hispanic', 'Native American')) GROUP BY student_id) rg ON g.student_id = rg.student_id GROUP BY g.dept_name;"
7414,maritime,"Vessel performance data, cargo tracking, safety records, and regulatory compliance.",multiple_joins,"two or more joins (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average speed of vessels from Singapore registry in the Caribbean Sea over the past year?,"CREATE TABLE ports (port_id INT, port_name VARCHAR(255), country VARCHAR(255)); INSERT INTO ports VALUES (1, 'Kingston', 'Jamaica'); INSERT INTO ports VALUES (2, 'Willemstad', 'Curacao'); CREATE TABLE vessel_movements (movement_id INT, vessel_id INT, port_id INT, movement_timestamp TIMESTAMP); INSERT INTO vessel_movements VALUES (1, 301, 1, '2021-06-01 10:00:00'); INSERT INTO vessel_movements VALUES (2, 302, 2, '2021-06-15 15:30:00'); CREATE TABLE vessel_info (vessel_id INT, vessel_name VARCHAR(255), flag_state VARCHAR(255)); INSERT INTO vessel_info VALUES (301, 'Test Vessel 3', 'Singapore');","SELECT AVG(vessel_speed) FROM (SELECT v.vessel_id, (vessel_distance / TIMESTAMPDIFF(HOUR, v.movement_timestamp, l.movement_timestamp)) AS vessel_speed FROM vessel_movements v JOIN vessel_movements l ON v.vessel_id = l.vessel_id JOIN vessel_info vi ON v.vessel_id = vi.vessel_id WHERE v.movement_timestamp BETWEEN DATE_SUB(NOW(), INTERVAL 1 YEAR) AND NOW() AND vi.flag_state = 'Singapore' AND l.port_id IN (SELECT port_id FROM ports WHERE country IN ('Jamaica', 'Curacao'))) AS speed_calculation;",1. Filters vessel movements involving Singapore-flagged vessels in the Caribbean Sea over the past year. 2. Performs a self-join on the vessel_movements table to find the subsequent movement of the same vessel. 3. Calculates the average vessel speed based on the distance between the two ports and the time difference between the two movements.,"```sql
select 
  avg(vessel_speed) 
from 
  (
    select 
      v.vessel_id, 
      (vessel_distance / timestampdiff(hour, v.movement_timestamp, l.movement_timestamp)) 
      as vessel_speed 
    from 
      vessel_movements v 
    join 
      vessel_movements l on v.vessel_id = l.vessel_id 
    join 
      vessel_info vi on v.vessel_id = vi.vessel_id 
    where 
      v.movement_timestamp between date_sub(now(), interval 1 year) and now() 
      and vi.flag_state = 'singapore' 
      and l.port_id in 
      (
        select 
          port_id 
        from 
          ports 
        where 
          region = 'caribbean'
      )
  ) 
as 
  speed_calculation;
```","Example 1:
Question: What is the average speed of vessels from Singapore registry in the Caribbean Sea over the past year?
SQL: SELECT AVG(vessel_speed) FROM (SELECT v.vessel_id, (vessel_distance / TIMESTAMPDIFF(HOUR, v.movement_timestamp, l.movement_timestamp)) AS vessel_speed FROM vessel_movements v JOIN vessel_movements l ON v.vessel_id = l.vessel_id JOIN vessel_info vi ON v.vessel_id = vi.vessel_id WHERE v.movement_timestamp BETWEEN DATE_SUB(NOW(), INTERVAL 1 YEAR) AND NOW() AND vi.flag_state = 'Singapore' AND l.port_id IN (SELECT port_id FROM ports WHERE country IN ('Jamaica', 'Curacao'))) AS speed_calculation;
Example 2:
Question: What is the average speed of vessels arriving from the Caribbean region in the past month?
SQL: SELECT AVG(speed) FROM vessels WHERE region = 'Caribbean' AND arrival_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH);
Example 3:
Question: What is the average speed of container vessels in the past year?
SQL: SELECT AVG(sd.speed) as avg_speed FROM vessel v INNER JOIN speed_data sd ON v.id = sd.vessel_id WHERE v.type = 'container' AND sd.speed_date >= DATE(NOW(), INTERVAL -1 YEAR);
Example 4:
Question: What is the average speed of vessels that departed from the Port of Oakland in the past month?
SQL: SELECT AVG(AverageSpeed) FROM VesselPerformance WHERE DeparturePort = 'Port of Oakland' AND DepartureDate >= DATEADD(MONTH, -1, GETDATE());
Example 5:
Question: What is the average speed of vessels in the past month, grouped by the vessel type?
SQL: SELECT Vessel_Type, AVG(Average_Speed) FROM Vessel_Performance WHERE Docking_Date >= DATEADD(MONTH, -1, GETDATE()) GROUP BY Vessel_Type;"
37353,water resources,"Water usage metrics, drought impact assessments, wastewater treatment data, and water conservation initiatives.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What was the change in water consumption between 2019 and 2020 for each city?,"CREATE TABLE city_water_usage (city VARCHAR(50), year INT, consumption INT); INSERT INTO city_water_usage (city, year, consumption) VALUES ('CityA', 2019, 1200), ('CityA', 2020, 1500), ('CityB', 2019, 1000), ('CityB', 2020, 1100);","SELECT a.city, (a.consumption - b.consumption) AS consumption_change FROM city_water_usage a INNER JOIN city_water_usage b ON a.city = b.city AND a.year = 2020 AND b.year = 2019;",The query calculates the change in water consumption between the years 2019 and 2020 for each city by joining the city_water_usage table on the city column and the year columns and subtracting the consumption amounts.,"```sql
select 
  a.city, 
  (a.consumption - b.consumption) as consumption_change 
from 
  city_water_usage a 
inner join 
  city_water_usage b 
on 
  a.city = b.city 
  and a.year = 2020 
  and b.year = 2019;
```","Example 1:
Question: What was the change in water consumption between 2019 and 2020 for each city?
SQL: SELECT a.city, (a.consumption - b.consumption) AS consumption_change FROM city_water_usage a INNER JOIN city_water_usage b ON a.city = b.city AND a.year = 2020 AND b.year = 2019;
Example 2:
Question: What is the change in temperature for each country between 2019 and 2020 in the 'world_temperature' table?
SQL: SELECT a.country, (a.temperature - b.temperature) as temperature_change FROM world_temperature a INNER JOIN world_temperature b ON a.country = b.country WHERE YEAR(a.measurement_date) = 2020 AND YEAR(b.measurement_date) = 2019;
Example 3:
Question: What is the percentage change in temperature for each country between 2019 and 2020 in the 'world_temperature' table?
SQL: SELECT a.country, (a.temperature - b.temperature) * 100.0 / b.temperature as temperature_change_percentage FROM world_temperature a INNER JOIN world_temperature b ON a.country = b.country WHERE YEAR(a.measurement_date) = 2020 AND YEAR(b.measurement_date) = 2019;
Example 4:
Question: What is the change in population for each species between 2019 and 2021?
SQL: SELECT species, (population_2021 - population_2019) as population_change FROM (SELECT species, MAX(CASE WHEN year = 2021 THEN population END) as population_2021, MAX(CASE WHEN year = 2019 THEN population END) as population_2019 FROM wildlife GROUP BY species) as population_changes;
Example 5:
Question: What is the percentage change in population for each city between 2019 and 2020?
SQL: SELECT CityId, Year, Population, (Population - LAG(Population, 1) OVER (PARTITION BY CityId ORDER BY Year))*100.0 / LAG(Population, 1) OVER (PARTITION BY CityId ORDER BY Year) as PopulationPercentageChange FROM CityYearPopulation;"
21984,climate change,"Climate change data on climate mitigation, climate adaptation, climate finance, and climate communication.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","Which climate communication campaigns were launched in the African region between 2016 and 2018, and what was their reach?","CREATE TABLE climate_communication (campaign_name VARCHAR(50), region VARCHAR(50), launch_year INT, reach INT); INSERT INTO climate_communication (campaign_name, region, launch_year, reach) VALUES ('Go Green', 'Africa', 2017, 500000), ('Save the Planet', 'Africa', 2016, 700000);","SELECT campaign_name, region, launch_year, reach FROM climate_communication WHERE region = 'Africa' AND launch_year BETWEEN 2016 AND 2018;","The SQL query retrieves the climate communication campaigns that were launched in the African region between 2016 and 2018, along with their reach.","```sql
select 
  campaign_name, 
  region, 
  launch_year, 
  reach 
from 
  climate_communication 
where 
  region = 'africa' 
  and launch_year between 2016 and 2018;
```","Example 1:
Question: Which climate communication campaigns were launched in the African region between 2016 and 2018, and what was their reach?
SQL: SELECT campaign_name, region, launch_year, reach FROM climate_communication WHERE region = 'Africa' AND launch_year BETWEEN 2016 AND 2018;
Example 2:
Question: What is the number of climate communication campaigns in the Sub-Saharan Africa region that targeted coastal communities and were launched in the last 2 years?
SQL: SELECT COUNT(*) FROM climate_communication WHERE region = 'Sub-Saharan Africa' AND target = 'Coastal Communities' AND year BETWEEN 2020 AND 2021;
Example 3:
Question: Which climate mitigation projects were completed in the Amazon rainforest between 2015 and 2020, and what were their combined costs?
SQL: SELECT location, SUM(cost) FROM climate_mitigation WHERE location = 'Amazon rainforest' AND year BETWEEN 2015 AND 2020 GROUP BY location;
Example 4:
Question: How many public awareness campaigns were launched in the past 2 years and what was their total budget?
SQL: SELECT COUNT(*), SUM(Budget) FROM Campaigns WHERE LaunchDate >= DATE_SUB(CURDATE(), INTERVAL 2 YEAR);
Example 5:
Question: How many climate communication campaigns were launched in Latin America and the Caribbean in 2020, segregated by their primary target audience (government, private sector, or general public)?
SQL: SELECT target_audience, COUNT(*) FROM climate_communication INNER JOIN countries ON climate_communication.country = countries.country WHERE countries.region = 'Latin America and the Caribbean' AND launch_date >= '2020-01-01' AND launch_date < '2021-01-01' GROUP BY target_audience;"
86219,government services,"Public service delivery, budget allocation, citizen feedback, and policy impact.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average budget allocated for public safety in the cities of Atlanta, Boston, and Denver for the years 2022 and 2023?","CREATE TABLE city_budgets (city varchar(50), year int, service varchar(50), budget int); INSERT INTO city_budgets (city, year, service, budget) VALUES ('Atlanta', 2022, 'Public Safety', 15000000), ('Atlanta', 2023, 'Public Safety', 16000000), ('Boston', 2022, 'Public Safety', 20000000), ('Boston', 2023, 'Public Safety', 21000000), ('Denver', 2022, 'Public Safety', 12000000), ('Denver', 2023, 'Public Safety', 13000000);",SELECT AVG(budget) FROM city_budgets WHERE (city = 'Atlanta' OR city = 'Boston' OR city = 'Denver') AND service = 'Public Safety' AND (year = 2022 OR year = 2023);,"The SQL query calculates the average budget allocated for public safety in the cities of Atlanta, Boston, and Denver for the years 2022 and 2023 by calculating the average budget values in the city_budgets table where the city is either 'Atlanta', 'Boston', or 'Denver', the service is 'Public Safety', and the year is either 2022 or 2023.","```sql
select 
    avg(budget) 
from 
    city_budgets 
where 
    city in ('atlanta', 'boston', 'denver') 
    and service = 'public safety' 
    and year in (2022, 2023);
```","Example 1:
Question: What is the average budget allocated for public safety in the cities of Atlanta, Boston, and Denver for the years 2022 and 2023?
SQL: SELECT AVG(budget) FROM city_budgets WHERE (city = 'Atlanta' OR city = 'Boston' OR city = 'Denver') AND service = 'Public Safety' AND (year = 2022 OR year = 2023);
Example 2:
Question: What is the average budget allocated for public works in the cities of Dallas, Seattle, and New York for the years 2023 and 2024?
SQL: SELECT AVG(budget) FROM city_budgets WHERE (city = 'Dallas' OR city = 'Seattle' OR city = 'New York') AND service = 'Public Works' AND (year = 2023 OR year = 2024);
Example 3:
Question: What is the total budget allocated for public safety and environmental protection services in the state of California in 2021?
SQL: SELECT SUM(amount) FROM budget_allocation WHERE state = 'California' AND (service = 'Public Safety' OR service = 'Environmental Protection') AND year = 2021;
Example 4:
Question: What is the average budget for infrastructure projects in 2022 and 2023?
SQL: SELECT AVG(budget) as avg_budget FROM infrastructure_projects WHERE year IN (2022, 2023);
Example 5:
Question: What is the average response time for public transportation services in New York and Pennsylvania, and what is the total budget allocated to these services in each state?
SQL: SELECT AVG(response_times.response_time) as avg_response_time, budget_allocation.state, SUM(budget_allocation.budget) as total_budget FROM response_times INNER JOIN budget_allocation ON response_times.service = budget_allocation.service WHERE response_times.service = 'Public Transportation' AND (response_times.state = 'New York' OR response_times.state = 'Pennsylvania') GROUP BY response_times.state;"
92478,fashion retail,"Fashion trend data, textile sourcing info, customer size diversity, and sustainable fashion metrics.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Which sustainable material has the highest average price?,"CREATE TABLE material_prices (id INT, material VARCHAR(50), price DECIMAL(10, 2)); INSERT INTO material_prices (id, material, price) VALUES (1, 'organic silk', 35.00), (2, 'organic linen', 18.50);","SELECT material, AVG(price) as avg_price FROM material_prices GROUP BY material ORDER BY avg_price DESC LIMIT 1;","This SQL query calculates the average price of sustainable materials by grouping them, ordering in descending order and limiting to 1.","```sql
select material, avg(price) as avg_price 
from material_prices 
group by material 
order by avg_price desc 
limit 1;
```","Example 1:
Question: Which sustainable material has the highest average price?
SQL: SELECT material, AVG(price) as avg_price FROM material_prices GROUP BY material ORDER BY avg_price DESC LIMIT 1;
Example 2:
Question: Which sustainable material has the highest production cost?
SQL: SELECT material, production_cost FROM materials ORDER BY production_cost DESC LIMIT 1;
Example 3:
Question: Which sustainable material has the highest production cost in Europe?
SQL: SELECT material_name, MAX(production_cost) FROM material_prices WHERE region = 'Europe' GROUP BY material_name;
Example 4:
Question: Which artist has the highest average concert ticket price?
SQL: SELECT artist_name, AVG(ticket_price) as avg_ticket_price FROM artists GROUP BY artist_name ORDER BY avg_ticket_price DESC LIMIT 1;
Example 5:
Question: Which sustainable material brands have the highest average awareness score?
SQL: SELECT brand_name, AVG(awareness_score) FROM sustainable_material_brands GROUP BY brand_name ORDER BY AVG(awareness_score) DESC LIMIT 1;"
94241,energy,"Energy market data covering renewable energy sources, energy storage, carbon pricing, and energy efficiency.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which energy storage technology has the highest capacity in the EnergyStorage table?,"CREATE TABLE EnergyStorage (technology TEXT, capacity INT); INSERT INTO EnergyStorage (technology, capacity) VALUES ('Lithium-ion', 3000), ('Lead-acid', 2000);","SELECT technology, capacity FROM EnergyStorage ORDER BY capacity DESC LIMIT 1;",We order the EnergyStorage table by capacity in descending order and select the top row to find the energy storage technology with the highest capacity.,"```sql
select technology, capacity 
from energystorage 
order by capacity desc 
limit 1;
```","Example 1:
Question: Which energy storage technology has the highest capacity in the EnergyStorage table?
SQL: SELECT technology, capacity FROM EnergyStorage ORDER BY capacity DESC LIMIT 1;
Example 2:
Question: What is the total installed capacity of energy storage in Japan, the US, and Germany, and which one has the highest capacity?
SQL: SELECT e1.country, SUM(e1.capacity) as total_capacity FROM energy_storage e1 WHERE e1.country IN ('Japan', 'US', 'Germany') GROUP BY e1.country;
Example 3:
Question: What is the total energy storage capacity for each energy storage technology in the storage table?
SQL: SELECT type, SUM(capacity) as total_capacity FROM storage GROUP BY type ORDER BY total_capacity DESC;
Example 4:
Question: What is the average energy storage capacity in the US and Canada, and which one has a higher capacity?
SQL: SELECT AVG(capacity) as avg_capacity FROM energy_storage WHERE country IN ('US', 'Canada');
Example 5:
Question: What is the technology with the highest capacity in energy storage in the USA?
SQL: SELECT technology, capacity FROM energy_storage WHERE country = 'USA' AND capacity = (SELECT MAX(capacity) FROM energy_storage WHERE country = 'USA');"
72754,tourism,"International visitor statistics, travel advisory information, destination marketing data, and sustainable tourism practices.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights","What are the top 5 most popular international destinations in North America, and their visitor counts?","CREATE TABLE north_american_tourism (destination VARCHAR(255), continent VARCHAR(255), visitors INT); INSERT INTO north_american_tourism (destination, continent, visitors) VALUES ('New York City', 'North America', 8000000); INSERT INTO north_american_tourism (destination, continent, visitors) VALUES ('Los Angeles', 'North America', 6000000); INSERT INTO north_american_tourism (destination, continent, visitors) VALUES ('Miami', 'North America', 4000000);","SELECT destination, continent, visitors, RANK() OVER (PARTITION BY continent ORDER BY visitors DESC) as popularity_rank FROM north_american_tourism WHERE continent = 'North America' AND popularity_rank <= 5;",This query ranks the popularity of destinations in North America by partitioning the data by continent and ordering by visitor counts in descending order. Only the top 5 are returned.,"```sql
select 
    destination, 
    continent, 
    visitors, 
    rank() over (partition by continent order by visitors desc) as popularity_rank 
from 
    north_american_tourism 
where 
    continent = 'north america' 
    and popularity_rank <= 5;
```","Example 1:
Question: What are the top 5 most popular international destinations in North America, and their visitor counts?
SQL: SELECT destination, continent, visitors, RANK() OVER (PARTITION BY continent ORDER BY visitors DESC) as popularity_rank FROM north_american_tourism WHERE continent = 'North America' AND popularity_rank <= 5;
Example 2:
Question: What are the top 3 most popular international destinations in Africa, and their visitor counts?
SQL: SELECT destination, continent, visitors, RANK() OVER (PARTITION BY continent ORDER BY visitors DESC) as popularity_rank FROM african_tourism WHERE continent = 'Africa' AND popularity_rank <= 3;
Example 3:
Question: What are the top 5 most popular teams by fan demographics in the North region?
SQL: SELECT t.name, COUNT(DISTINCT f.id) AS fan_count FROM Teams t JOIN FanDemographics f ON t.id = f.team_id WHERE t.region = 'North' GROUP BY t.name ORDER BY fan_count DESC LIMIT 5
Example 4:
Question: Who are the top 5 members with the most workout duration in the last week, and what was their total duration?
SQL: SELECT member_id, total_duration, RANK() OVER (ORDER BY total_duration DESC) rnk FROM recent_workouts WHERE rnk <= 5;
Example 5:
Question: What are the top 5 most purchased lipsticks by customers located in the US, considering sales from the past 12 months, and their respective sales quantities?
SQL: SELECT product_name, SUM(quantity) as total_quantity FROM CosmeticsSales WHERE customer_location = 'US' AND sale_date >= DATEADD(year, -1, GETDATE()) GROUP BY product_name ORDER BY total_quantity DESC LIMIT 5;"
82161,mental health,"In-depth data on mental health conditions, treatment approaches, patient outcomes, and public awareness campaigns in mental health.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average age of patients who received medication-based treatment?,"CREATE TABLE patients (patient_id INT, age INT, treatment_type VARCHAR(10)); INSERT INTO patients (patient_id, age, treatment_type) VALUES (1, 30, 'medication'), (2, 45, 'therapy'), (3, 50, 'medication'), (4, 25, 'therapy');",SELECT AVG(age) FROM patients WHERE treatment_type = 'medication';,"The SQL query calculates the average age of patients who received medication-based treatment. It uses the WHERE clause to filter for rows where the treatment type is 'medication', and then uses the AVG aggregation function to calculate the average value in the age column.","```sql
select avg(age) 
from patients 
where treatment_type = 'medication';
```","Example 1:
Question: What is the average age of patients who received medication-based treatment?
SQL: SELECT AVG(age) FROM patients WHERE treatment_type = 'medication';
Example 2:
Question: What is the average age of patients who have received treatment for depression or anxiety in the patient_treatment table, grouped by the type of treatment?
SQL: SELECT treatment_type, AVG(age) FROM patient_treatment WHERE condition IN ('depression', 'anxiety') GROUP BY treatment_type;
Example 3:
Question: What is the average age of patients who received a flu shot in California, grouped by county?
SQL: SELECT v.county, AVG(p.age) as avg_age FROM vaccinations v INNER JOIN patients p ON v.patient_id = p.patient_id WHERE vaccine = 'Flu' AND county = 'California' GROUP BY v.county;
Example 4:
Question: What is the average age of patients who received therapy in 'clinic_2022'?
SQL: SELECT AVG(age) FROM clinic_2022 WHERE therapy_type IS NOT NULL;
Example 5:
Question: What is the average age of patients who received therapy in community center A?
SQL: SELECT AVG(p.age) FROM patients p JOIN treatments t ON p.id = t.patient_id WHERE t.type = 'therapy' AND t.community_center_id = 1;"
